check,value,interpretation
same_calendar_wind_speed_correlation,0.043,very_low_hour_by_hour_similarity
same_calendar_friction_velocity_correlation,0.145,low_hour_by_hour_similarity
same_calendar_mechanical_mixing_height_correlation,0.123,low_hour_by_hour_similarity
median_absolute_wind_direction_difference_deg,75,material_directional_difference
identical_full_dynamic_states_same_calendar_hours,0,no_exact_same_calendar_state_matches
exact_rounded_dynamic_state_overlap_pct,0.15,very_small_cross_year_state_overlap
